الرياض;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
رجب;23;0;23;10;13;23;2;8;12;1;0;23;14;9;23
شعبان;11;1;12;5;7;12;2;2;6;1;1;12;7;5;12
رمضان;22;0;22;14;8;22;3;9;7;2;1;22;9;13;22
شوال;15;2;17;10;7;17;2;4;5;2;4;17;10;7;17
ذى القعدة;12;0;12;8;4;12;0;6;6;0;0;12;7;5;12
ذى الحجة;13;1;14;9;5;14;3;6;2;2;1;14;9;5;14
المجموع;213;12;225;145;80;225;22;79;77;23;24;225;134;91;225
الباحه;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;16;1;17;10;7;17;1;7;3;4;2;17;14;3;17
صفر;7;0;7;6;1;7;4;1;0;1;1;7;7;0;7
ربيع أول;8;0;8;4;4;8;2;3;1;1;1;8;6;2;8
ربيع ثانى;6;0;6;3;3;6;2;1;1;0;2;6;6;0;6
جمادى أول;14;0;14;14;0;14;1;7;6;0;0;14;5;9;14
جمادى ثانى;6;1;7;5;2;7;0;4;1;1;1;7;7;0;7
رجب;11;3;14;10;4;14;1;4;4;1;4;14;13;1;14
شعبان;2;3;5;2;3;5;1;2;1;0;1;5;4;1;5
رمضان;6;0;6;2;4;6;1;2;2;1;0;6;4;2;6
شوال;7;3;10;6;4;10;1;3;3;0;3;10;7;3;10
ذى القعدة;9;1;10;3;7;10;1;2;0;1;6;10;10;0;10
ذى الحجة;6;1;7;2;5;7;0;3;0;1;3;7;6;1;7
المجموع;98;13;111;67;44;111;15;39;22;11;24;111;89;22;111
عـــسـير;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;52;6;58;5;53;58;12;24;14;4;4;58;45;13;58
صفر;54;5;59;4;55;59;13;21;16;2;7;59;38;21;59
ربيع أول;60;2;62;6;56;62;4;24;11;9;14;62;42;20;62
ربيع ثانى;47;6;53;6;47;53;9;13;11;7;13;53;46;7;53
جمادى أول;40;9;49;5;44;49;6;16;11;7;9;49;34;15;49
جمادى ثانى;48;5;53;6;47;53;8;15;12;6;12;53;42;11;53
رجب;43;3;46;3;43;46;7;17;14;2;6;46;30;16;46
شعبان;69;3;72;5;67;72;10;34;18;2;8;72;61;11;72
رمضان;54;6;60;5;55;60;6;27;10;7;10;60;45;15;60
شوال;66;8;74;6;68;74;13;31;16;6;8;74;53;21;74
ذى القعدة;45;5;50;3;47;50;10;17;10;4;9;50;38;12;50
ذى الحجة;54;6;60;1;59;60;6;27;13;5;9;60;44;16;60
المجموع;632;64;696;55;641;696;104;266;156;61;109;696;518;178;696
جازان;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;54;4;58;17;41;58;9;22;15;4;8;58;39;19;58
صفر;48;7;55;13;42;55;11;15;15;6;8;55;37;18;55
ربيع أول;42;8;50;12;38;50;10;21;9;3;7;50;37;13;50
ربيع ثانى;56;9;65;2;63;65;14;32;3;7;9;65;45;20;65
جمادى أول;38;6;44;8;36;44;14;11;3;7;9;44;34;10;44
جمادى ثانى;38;2;40;14;26;40;6;12;13;3;6;40;31;9;40
رجب;30;5;35;9;26;35;4;10;12;3;6;35;26;9;35
شعبان;34;3;37;12;25;37;5;15;10;2;5;37;29;8;37
رمضان;35;4;39;7;32;39;5;12;10;3;9;39;27;12;39
شوال;3;40;43;4;39;43;13;12;8;6;4;43;34;9;43
ذى القعدة;37;10;47;12;35;47;7;13;14;5;8;47;30;17;47
ذى الحجة;49;1;50;6;44;50;8;15;16;6;5;50;34;16;50
المجموع;464;99;563;116;447;563;106;190;128;55;84;563;403;160;563
جده;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;27;4;31;22;9;31;3;8;7;6;7;31;12;19;31
صفر;27;5;32;12;20;32;3;11;8;6;4;32;18;14;32
ربيع أول;26;0;26;16;10;26;3;8;7;5;3;26;9;17;26
ربيع ثانى;29;2;31;15;16;31;1;12;10;7;1;31;18;13;31
جمادى أول;16;1;17;13;4;17;3;4;3;3;4;17;8;9;17
جمادى ثانى;26;0;26;14;12;26;2;8;5;7;4;26;12;14;26
رجب;20;7;27;17;10;27;3;9;5;6;4;27;11;16;27
شعبان;36;5;41;28;13;41;4;14;12;6;5;41;15;26;41
رمضان;29;3;32;19;13;32;3;12;7;6;4;32;8;24;32
شوال;28;4;32;21;11;32;1;12;10;5;4;32;11;21;32
ذى القعدة;20;2;22;10;12;22;0;9;6;4;3;22;13;9;22
