الرياض;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
جمادى أول;35;5;40;13;27;40;4;20;8;4;4;40;23;17;40
جمادى ثانى;29;1;30;12;18;30;2;20;4;2;2;30;21;9;30
رجب;27;7;34;16;18;34;5;10;13;3;3;34;25;9;34
شعبان;21;4;25;7;18;25;6;8;9;0;2;25;13;12;25
رمضان;44;9;53;20;33;53;13;9;19;5;7;53;19;34;53
شوال;31;1;32;15;17;32;3;5;15;8;1;32;16;16;32
ذى القعدة;37;4;41;22;19;41;4;15;12;6;4;41;29;12;41
ذى الحجة;33;1;34;20;14;34;2;9;20;2;1;34;22;12;34
المجموع;356;41;397;181;216;397;49;144;131;39;34;397;235;162;397
الباحه;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;4;1;5;5;0;5;0;2;0;2;1;5;2;3;5
صفر;15;0;15;11;4;15;1;7;2;0;5;15;11;4;15
ربيع أول;14;1;15;12;3;15;1;8;2;0;4;15;8;7;15
ربيع ثانى;9;0;9;5;4;9;4;2;2;0;1;9;9;0;9
جمادى أول;16;1;17;9;8;17;1;9;3;3;1;17;13;4;17
جمادى ثانى;13;5;18;15;3;18;1;9;1;4;3;18;13;5;18
رجب;15;0;15;8;7;15;2;7;3;1;2;15;11;4;15
شعبان;15;1;16;4;12;16;2;7;2;1;4;16;12;4;16
رمضان;13;2;15;10;5;15;1;7;2;2;3;15;11;4;15
شوال;13;7;20;9;11;20;5;9;0;1;5;20;17;3;20
ذى القعدة;21;4;25;15;10;25;4;5;10;2;4;25;19;6;25
ذى الحجة;12;3;15;7;8;15;8;4;1;1;1;15;13;2;15
المجموع;160;25;185;110;75;185;30;76;28;17;34;185;139;46;185
عسير ;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;67;5;72;0;72;72;9;37;12;3;11;72;57;15;72
صفر;59;2;61;5;56;61;5;25;23;3;5;61;38;23;61
ربيع أول;80;8;88;7;81;88;13;38;19;5;13;88;69;19;88
ربيع ثانى;62;5;67;5;62;67;9;27;8;10;13;67;50;17;67
جمادى أول;48;4;52;1;51;52;6;22;9;8;7;52;41;11;52
جمادى ثانى;87;19;106;2;104;106;24;39;21;12;10;106;79;27;106
رجب;87;5;92;7;85;92;12;41;18;8;13;92;69;23;92
شعبان;64;13;77;2;75;77;16;29;10;8;14;77;61;16;77
رمضان;97;16;113;5;108;113;23;40;26;13;11;113;66;47;113
شوال;72;5;77;6;71;77;11;26;20;7;13;77;58;19;77
ذى القعدة;79;6;85;6;79;85;9;38;12;9;17;85;64;21;85
ذى الحجة;81;12;93;10;83;93;17;38;26;5;7;93;64;29;93
المجموع;883;100;983;56;927;983;154;400;204;91;134;983;716;267;983
جازان;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;32;3;35;1;34;35;6;9;11;4;5;35;24;11;35
صفر;41;4;45;18;27;45;5;9;17;8;6;45;26;19;45
ربيع أول;39;2;41;2;39;41;6;18;12;4;1;41;30;11;41
ربيع ثانى;41;5;46;12;34;46;7;20;12;4;3;46;31;15;46
جمادى أول;44;9;53;15;38;53;11;18;10;7;7;53;41;12;53
جمادى ثانى;52;2;54;16;38;54;7;17;19;10;1;54;37;17;54
رجب;33;3;36;13;23;36;4;14;10;1;7;36;26;10;36
شعبان;38;4;42;12;30;42;6;12;15;5;4;42;28;14;42
رمضان;37;1;38;12;26;38;14;11;9;0;4;38;29;9;38
شوال;38;2;40;16;24;40;6;15;7;7;5;40;26;14;40
ذى القعدة;29;6;35;3;32;35;8;14;7;5;1;35;25;10;35
ذى الحجة;47;2;49;9;40;49;10;14;9;8;8;49;35;14;49
المجموع;471;43;514;129;385;514;90;171;138;63;52;514;358;156;514
جده;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;35;6;41;10;31;41;3;14;11;6;7;41;22;19;41
صفر;53;8;61;24;37;61;8;19;16;10;8;61;24;37;61
ربيع أول;42;6;48;23;25;48;10;14;9;7;8;48;24;24;48
ربيع ثانى;37;2;39;13;26;39;7;12;7;6;7;39;26;13;39
جمادى أول;61;5;66;29;37;66;13;18;14;13;8;66;34;32;66
جمادى ثانى;46;4;50;29;21;50;9;12;10;9;10;50;17;33;50
رجب;45;5;50;25;25;50;6;14;12;11;7;50;18;32;50
شعبان;43;3;46;19;27;46;5;11;13;11;6;46;19;27;46
رمضان;62;11;73;19;54;73;10;18;16;16;13;73;24;49;73
شوال;42;5;47;18;29;47;9;12;13;8;5;47;20;27;47
ذى القعدة;42;7;49;18;31;49;6;12;11;11;9;49;17;32;49
ذى الحجة;47;13;60;24;36;60;7;22;14;13;4;60;18;42;60
المجموع;555;75;630;251;379;630;93;178;146;121;92;630;263;367;630
الطائف;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
